Day,Order,Reading
292,1,Judg 15:13-21:25
292,2,Ruth 1:1-4:22
292,3,1Sam 1:1-2:29
293,1,1Sam 2:30-15:35
294,1,1Sam 16:1-28:19
295,1,1Sam 28:20-31:13
295,2,2Sam 1:1-12:10
296,1,2Sam 12:11-22:18
297,1,2Sam 22:19-24:25
297,2,1Kgs 1:1-7:37
298,1,1Kgs 7:38-16:20
299,1,1Kgs 16:21-22:53
299,2,2Kgs 1:1-4:37
300,1,2Kgs 4:38-15:26
301,1,2Kgs 15:27-25:30
302,1,1Chr 1:1-9:44
303,1,1Chr 10:1-23:32
304,1,1Chr 24:1-29:30
304,2,2Chr 1:1-7:10
305,1,2Chr 7:11-23:15
306,1,2Chr 23:16-35:15
307,1,2Chr 35:16-36:23
307,2,Ezra 1:1-10:44
308,1,Neh 1:1-13:14
309,1,Neh 13:15-31
309,2,Esth 1:1-10:3
309,3,Job 1:1-7:21
310,1,Job 8:1-24:25
311,1,Job 25:1-41:34
312,1,Job 42:1-17
312,2,Ps 1:1-24:10
313,1,Ps 25:1-45:14
314,1,Ps 45:15-69:21
315,1,Ps 69:22-89:13
316,1,Ps 89:14-108:13
317,1,Ps 109:1-134:3
318,1,Ps 135:1-150:6
318,2,Prov 1:1-6:35
319,1,Prov 7:1-20:21
320,1,Prov 20:22-31:31
320,2,Eccl 1:1-2:26
321,1,Eccl 3:1-12:14
321,2,Song 1:1-8:14
322,1,Isa 1:1-13:22
323,1,Isa 14:1-28:29
324,1,Isa 29:1-41:18
325,1,Isa 41:19-52:12
326,1,Isa 52:13-66:18
327,1,Isa 66:19-24
327,2,Jer 1:1-10:13
328,1,Jer 10:14-23:8
329,1,Jer 23:9-33:22
330,1,Jer 33:23-47:7
331,1,Jer 48:1-52:34
331,2,Lam 1:1-22
332,1,Lam 2:1-5:22
332,2,Ezek 1:1-12:20
333,1,Ezek 12:21-23:39
334,1,Ezek 23:40-35:15
335,1,Ezek 36:1-47:12
336,1,Ezek 47:13-48:35
336,2,Dan 1:1-8:27
337,1,Dan 9:1-12:13
337,2,Hos 1:1-13:6
338,1,Hos 13:7-14:9
338,2,Joel 1:1-3:21
338,3,Amos 1:1-9:10
339,1,Amos 9:11-15
339,2,Obad 1:1-21
339,3,Jonah 1:1-4:11
339,4,Mic 1:1-7:20
339,5,Nah 1:1-3:19
340,1,Hab 1:1-3:19
340,2,Zeph 1:1-3:20
340,3,Hag 1:1-2:23
340,4,Zech 1:1-10:12
341,1,Zech 11:1-14:21
341,2,Mal 1:1-4:6
341,3,Matt 1:1-4:25
342,1,Matt 5:1-15:39
343,1,Matt 16:1-26:56
344,1,Matt 26:57-28:20
344,2,Mark 1:1-9:13
345,1,Mark 9:14-16:20
345,2,Luke 1:1-80
346,1,Luke 2:1-9:62
347,1,Luke 10:1-20:19
348,1,Luke 20:20-24:53
348,2,John 1:1-5:47
349,1,John 6:1-15:17
350,1,John 15:18-21:25
350,2,Acts 1:1-6:7
351,1,Acts 6:8-16:37
352,1,Acts 16:38-28:16
353,1,Acts 28:17-31
353,2,Rom 1:1-14:23
354,1,Rom 15:1-16:27
354,2,1Cor 1:1-14:40
355,1,1Cor 15:1-16:24
355,2,2Cor 1:1-13:14
355,3,Gal 1:1-3:25
356,1,Gal 3:26-6:18
356,2,Eph 1:1-6:24
356,3,Phil 1:1-4:23
356,4,Col 1:1-4:18
357,1,1Thess 1:1-5:27
357,2,2Thess 1:1-3:18
357,3,1Tim 1:1-6:21
357,4,2Tim 1:1-4:22
357,5,Titus 1:1-3:15
357,6,Phm 1:1-25
358,1,Heb 1:1-13:25
358,2,Jas 1:1-3:12
359,1,Jas 3:13-5:20
359,2,1Pet 1:1-5:14
359,3,2Pet 1:1-3:18
359,4,1John 1:1-5:21
359,5,2John 1:1-13
359,6,3John 1:1-15
360,1,Jude 1:1-25
360,2,Rev 1:1-17:18
361,1,Rev 18:1-22:21
362,1,None
363,1,None
364,1,None
365,1,None
