Day_Number,Reading,Title,URL,Duration_(ms)
154,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/2/daily-bible-reading-thursday-june-2,
155,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/3/daily-bible-reading-friday-june-3,
156,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/4/daily-bible-reading-saturday-june-4,
157,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/5/daily-bible-reading-sunday-june-5,
158,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/6/daily-bible-reading-monday-june-6,
159,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/7/daily-bible-reading-tuesday-june-7,
160,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/8/daily-bible-reading-wednesday-june-8,
161,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/9/daily-bible-reading-thursday-june-9,
162,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/10/daily-bible-reading-friday-june-10,
163,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/11/daily-bible-reading-saturday-june-11,
164,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/12/daily-bible-reading-sunday-june-12,
165,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/13/daily-bible-reading-monday-june-13,
166,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/14/daily-bible-reading-tuesday-june-14,
167,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/15/daily-bible-reading-wednesday-june-15,
168,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/16/daily-bible-reading-thursday-june-16,
169,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/17/daily-bible-reading-friday-june-17,
170,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/18/daily-bible-reading-saturday-june-18,
171,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/19/daily-bible-reading-sunday-june-19,
172,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/20/daily-bible-reading-monday-june-20,
173,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/21/daily-bible-reading-tuesday-june-21,
174,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/22/daily-bible-reading-wednesday-june-22,
175,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/23/daily-bible-reading-thursday-june-23,
176,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/24/daily-bible-reading-friday-june-24,
177,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/25/daily-bible-reading-saturday-june-25,
178,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/26/daily-bible-reading-sunday-june-26,
179,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/27/daily-bible-reading-monday-june-27,
180,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/28/daily-bible-reading-tuesday-june-28,
181,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/29/daily-bible-reading-wednesday-june-29,
182,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/6/30/daily-bible-reading-thursday-june-30,
183,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/1/daily-bible-reading-friday-july-1,
184,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/2/daily-bible-reading-saturday-july-2,
185,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/3/daily-bible-reading-sunday-july-3,
186,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/4/daily-bible-reading-monday-july-4,
187,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/5/daily-bible-reading-tuesday-july-5,
188,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/6/daily-bible-reading-wednesday-july-6,
189,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/7/daily-bible-reading-thursday-july-7,
190,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/8/daily-bible-reading-friday-july-8,
191,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/9/daily-bible-reading-saturday-july-9,
192,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/10/daily-bible-reading-sunday-july-10,
193,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/11/daily-bible-reading-monday-july-11,
194,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/12/daily-bible-reading-tuesday-july-12,
195,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/13/daily-bible-reading-wednesday-july-13,
196,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/14/daily-bible-reading-thursday-july-14,
197,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/15/daily-bible-reading-friday-july-15,
198,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/16/daily-bible-reading-saturday-july-16,
199,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/17/daily-bible-reading-sunday-july-17,
200,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/18/daily-bible-reading-monday-july-18,
201,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/19/daily-bible-reading-tuesday-july-19,
202,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/20/daily-bible-reading-wednesday-july-20,
203,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/21/daily-bible-reading-thursday-july-21,
204,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/22/daily-bible-reading-friday-july-22,
205,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/23/daily-bible-reading-saturday-july-23,
206,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/24/daily-bible-reading-sunday-july-24,
207,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/25/daily-bible-reading-monday-july-25,
208,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/7/26/daily-bible-reading-tuesday-july-26,
