Day_Number,Title,URL,Duration_(ms)
49,"Daily Bible Reading - Monday, February 19",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a89e55bec212d1cb4aca162/1518986666132/OYB_February19_2018_mixdown.mp3/original/OYB_February19_2018_mixdown.mp3,903000
50,"Daily Bible Reading - Tuesday, February 20",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a8b330bf9619a0752a1af53/1519072077873/OYB_February20_2018_mixdown.mp3/original/OYB_February20_2018_mixdown.mp3,789000
51,"Daily Bible Reading - Wednesday, February 21",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a8c723be2c483c4083ea2a6/1519153795694/OYB_February21_2018_mixdown.mp3/original/OYB_February21_2018_mixdown.mp3,864000
52,"Daily Bible Reading - Thursday, February 22",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a8c81dfe4966b2397f5264a/1519157813923/OYB_February22_2018_mixdown.mp3/original/OYB_February22_2018_mixdown.mp3,1025000
53,"Daily Bible Reading - Friday, February 23",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a8e13de8165f569cbf67479/1519260713279/OYB_February23_2018_mixdown.mp3/original/OYB_February23_2018_mixdown.mp3,899000
54,"Daily Bible Reading - Sunday, February 25",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a90613fc830257a34086a2c/1519411591394/OYB_February25_2018_mixdown.mp3/original/OYB_February25_2018_mixdown.mp3,835000
55,"Daily Bible Reading - Monday, February 26",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a90826771c10b0d65d77723/1519420087014/OYB_February26_2018_mixdown.mp3/original/OYB_February26_2018_mixdown.mp3,918000
56,"Daily Bible Reading - Tuesday, February 27",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a94702253450a4a61c3f16b/1519677539778/OYB_February27_2018_mixdown.mp3/original/OYB_February27_2018_mixdown.mp3,780000
57,"Daily Bible Reading - Wednesday, February 28",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a95bd73ec212d0d4ec1a421/1519762889086/OYB_February28_2018_mixdown.mp3/original/OYB_February28_2018_mixdown.mp3,917000
58,"Daily Bible Reading - Saturday, March 3",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a98433a53450a6689bc6590/1519928209251/OYB_March3_2018_mixdown.mp3/original/OYB_March3_2018_mixdown.mp3,981000
59,"Daily Bible Reading - Sunday, March 4",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a986a98ec212d1753291716/1519938314324/OYB_March4_2018_mixdown.mp3/original/OYB_March4_2018_mixdown.mp3,1024000
60,"Daily Bible Reading - Tuesday, March 6",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a9d9ca5419202ab8bde8dd2/1520278814353/OYB_March6_2018_mixdown.mp3/original/OYB_March6_2018_mixdown.mp3,1381000
61,"Daily Bible Reading - Wednesday, March 7",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a9da853e2c4839717cb3c91/1520281761172/OYB_March7_2018_mixdown.mp3/original/OYB_March7_2018_mixdown.mp3,870000
62,"Daily Bible Reading - Friday, March 9",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aa063318165f553aa693546/1520460670158/OYB_March9_2018_mixdown.mp3/original/OYB_March9_2018_mixdown.mp3,885000
63,"Daily Bible Reading - Saturday, March 10",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aa06a25e2c4835e5537b20c/1520462462199/OYB_March10_2018_mixdown.mp3/original/OYB_March10_2018_mixdown.mp3,843000
64,"Daily Bible Reading - Monday, March 12",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aa2e72d71c10bf94308dfbb/1520625532419/OYB_March12_2018_mixdown.mp3/original/OYB_March12_2018_mixdown.mp3,945000
65,"Daily Bible Reading - Wednesday, March 14",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aa6e7f8652deaa16b7fa2ce/1520887876959/OYB_March14_2018_mixdown.mp3/original/OYB_March14_2018_mixdown.mp3,890000
66,"Daily Bible Reading - Thursday, March 15",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aa82cb58165f594c0737401/1520971002034/OYB_March15_2018_mixdown.mp3/original/OYB_March15_2018_mixdown.mp3,772000
67,"Daily Bible Reading - Friday, March 16",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aa8406ef9619a45704eb6ff/1520976055672/OYB_March16-2018_mixdown.mp3/original/OYB_March16-2018_mixdown.mp3,842000
68,"Daily Bible Reading - Sunday, March 18",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aaac0cb562fa7c86a567f8c/1521139983695/OYB_March18_2018_mixdown.mp3/original/OYB_March18_2018_mixdown.mp3,803000
69,"Daily Bible Reading - Monday, March 19",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aaacc461ae6cf02516c11d5/1521142918591/OYB_March19_2018_mixdown.mp3/original/OYB_March19_2018_mixdown.mp3,804000
70,"Daily Bible Reading - Wednesday, March 21",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ab0149b8a922dec22809344/1521489126215/OYB_March21_2018_mixdown.mp3/original/OYB_March21_2018_mixdown.mp3,943000
71,"Daily Bible Reading - Friday, March 23",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ab166f1575d1fb57c3da527/1521575744827/OYB_March23_2018_mixdown.mp3/original/OYB_March23_2018_mixdown.mp3,986000
72,"Daily Bible Reading - Saturday, March 24",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ab2a538352f53048d8a52cf/1521657228015/OYB_March24_2018_mixdown.mp3/original/OYB_March24_2018_mixdown.mp3,1003000
73,"Daily Bible Reading - Monday, March 26",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ab41905f950b7039c530718/1521752386111/OYB_March26_2018_mixdown.mp3/original/OYB_March26_2018_mixdown.mp3,968000
74,"Daily Bible Reading - Tuesday, March 27",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ab545ec0e2e72bd8362e61c/1521829428997/OYB_March27_2018_mixdown.mp3/original/OYB_March27_2018_mixdown.mp3,848000
75,"Daily Bible Reading - Wednesday, March 28",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ab5783a352f534a090f09ac/1521842310483/OYB_March28_2018_mixdown.mp3/original/OYB_March28_2018_mixdown.mp3,896000
76,"Daily Bible Reading - Friday, March 30",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ab9527d6d2a73733da16ee0/1522094811623/OYB_March30_2018_mixdown.mp3/original/OYB_March30_2018_mixdown.mp3,1109000
77,"Daily Bible Reading - Thursday, April 5",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ac533eb03ce64a2bba5d130/1522873410812/OYB_April5_2018_mixdown.mp3/original/OYB_April5_2018_mixdown.mp3,1086000
78,"Daily Bible Reading - Tuesday, April 10",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5acbbfa66d2a73d3a0213449/1523302368486/OYB_April10_2018_mixdown.mp3/original/OYB_April10_2018_mixdown.mp3,924000
79,"Daily Bible Reading - Wednesday, April 11",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5acd097c352f53a44f57b55c/1523386823884/OYB_April11_2018_mixdown.mp3/original/OYB_April11_2018_mixdown.mp3,878000
80,"Daily Bible Reading - Thursday, April 12",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5acd1abf70a6adb3536b22d8/1523391258488/OYB_April12_2018_mixdown.mp3/original/OYB_April12_2018_mixdown.mp3,1144000
81,"Daily Bible Reading - Saturday, April 14",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5acfa8bc562fa7b5ec5ee8e3/1523558658027/OYB_April14_2018_mixdown.mp3/original/OYB_April14_2018_mixdown.mp3,1114000
82,"Daily Bible Reading - Sunday, April 15",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5acfc2ac88251b63161f8b51/1523565283408/OYB_April15_2018_mixdown.mp3/original/OYB_April15_2018_mixdown.mp3,823000
83,"Daily Bible Reading - Monday, April 16",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ad116a3562fa71762ed4409/1523652330469/OYB_April16_2018_mixdown.mp3/original/OYB_April16_2018_mixdown.mp3,828000
84,"Daily Bible Reading - Tuesday, April 17",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ad4f886352f537efb9dbcb8/1523906766365/OYB_April17_2018_mixdown.mp3/original/OYB_April17_2018_mixdown.mp3,838000
85,"Daily Bible Reading - Wednesday, April 18",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ad63b7f0e2e720b81d148c4/1523989458198/OYB_April18_2018_mixdown.mp3/original/OYB_April18_2018_mixdown.mp3,983000
86,"Daily Bible Reading - Thursday, April 19",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ad7a1cf352f533511ecee1d/1524081175861/OYB_April19_2018_mixdown.mp3/original/OYB_April19_2018_mixdown.mp3,876000
87,"Daily Bible Reading - Friday, April 20",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ad7a2836d2a734914b99560/1524081366709/OYB_April20_2018_mixdown.mp3/original/OYB_April20_2018_mixdown.mp3,1040000
88,"Daily Bible Reading - Monday, April 23",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ada695d1ae6cfa0bb1c4853/1524263333803/OYB_April23_2018_mixdown.mp3/original/OYB_April23_2018_mixdown.mp3,913000
89,"Daily Bible Reading - Tuesday, April 24",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5adbbbafaa4a99162ac98ed2/1524349939599/OYB_April24_2018_mixdown.mp3/original/OYB_April24_2018_mixdown.mp3,837000
90,"Daily Bible Reading - Wednesday, April 25",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5adbe98baa4a99162acf355c/1524361671860/OYB_April25_2018_mixdown.mp3/original/OYB_April25_2018_mixdown.mp3,931000
91,"Daily Bible Reading - Friday, April 27",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5adf839a8a922dc9c0507cd2/1524597737148/OYB_April27_2018_mixdown.mp3/original/OYB_April27_2018_mixdown.mp3,936000
92,"Daily Bible Reading - Saturday, April 28",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5adf8ebf6d2a73d61ee1a78a/1524600569203/OYB_April28_2018_mixdown.mp3/original/OYB_April28_2018_mixdown.mp3,712000
93,"Daily Bible Reading - Sunday, April 29",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ae1f1dc562fa7423a5a5ddb/1524757014553/OYB_April29_2018_mixdown.mp3/original/OYB_April29_2018_mixdown.mp3,926000
94,"Daily Bible Reading - Monday, April 30",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ae663961ae6cfa83d60d6ec/1525048287806/OYB_April30_2018_mixdown.mp3/original/OYB_April30_2018_mixdown.mp3,890000
95,"Daily Bible Reading - Tuesday, May 1",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ae768e803ce6406945c3863/1525115187217/OYB_May1_2018_mixdown.mp3/original/OYB_May1_2018_mixdown.mp3,882000
96,"Daily Bible Reading - Wednesday, May 2",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5ae8b66a6d2a73187a2aa2a5/1525200628800/OYB_May2_2018_mixdown.mp3/original/OYB_May2_2018_mixdown.mp3,979000
97,"Daily Bible Reading - Sunday, May 6",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aeb59042b6a28516bdab391/1525373260660/OYB_May6_2018_mixdown.mp3/original/OYB_May6_2018_mixdown.mp3,911000
98,"Daily Bible Reading - Monday, May 7",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aeb5a068a922d96ce68293d/1525373495995/OYB_May7_2018_mixdown.mp3/original/OYB_May7_2018_mixdown.mp3,778000
99,"Daily Bible Reading - Tuesday, May 8",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aeb5b00aa4a999e5b5381e1/1525373772403/OYB_May8_2018_mixdown.mp3/original/OYB_May8_2018_mixdown.mp3,936000
100,"Daily Bible Reading - Wednesday, May 9",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5aeb5e24aa4a999e5b543b73/1525374574376/OYB_May9_2018_mixdown.mp3/original/OYB_May9_2018_mixdown.mp3,921000
101,"Daily Bible Reading - Friday, May 11",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5af347fa70a6adbb1162b2e8/1525893194144/OYB_May11_2018_mixdown.mp3/original/OYB_May11_2018_mixdown.mp3,1013000
102,"Daily Bible Reading - Saturday, May 12",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5af349526d2a737c1755bd18/1525893533683/OYB_May12_2018_mixdown.mp3/original/OYB_May12_2018_mixdown.mp3,883000
103,"Daily Bible Reading - Sunday, May 13",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5af34a6a575d1fa83a49db6a/1525893824161/OYB_May13_2018_mixdown.mp3/original/OYB_May13_2018_mixdown.mp3,1015000
104,"Daily Bible Reading - Monday, May 14",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5af34b65562fa7cf2504bcac/1525894067805/OYB_May14_2018_mixdown.mp3/original/OYB_May14_2018_mixdown.mp3,898000
105,"Daily Bible Reading - Tuesday, May 15",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5af34c71575d1fa83a4a53f9/1525894325261/OYB_May15_2018_mixdown.mp3/original/OYB_May15_2018_mixdown.mp3,834000
106,"Daily Bible Reading - Wednesday, May 16",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5af34d742b6a28770569ea01/1525894590047/OYB_May16_2018_mixdown.mp3/original/OYB_May16_2018_mixdown.mp3,888000
107,"Daily Bible Reading - Saturday, May 19",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5afc861088251b3354ade17b/1526498910286/OYB_May19_2018_mixdown.mp3/original/OYB_May19_2018_mixdown.mp3,1018000
